"","Ro2020s021","Ro2020s035","Ro2020s001","Ro2020s003","Ro2020s022","Ro2020s028","Ro2020s012","Ro2020s002","Ro2020s008","Ro2020s026","Ro2020s024","Ro2020s037","Ro2020s016","Ro2020s004","Ro2020s019","Ro2020s029","Ro2020s031","Ro2020s027","Ro2020s009","Ro2020s039","Ro2020s010","Ro2020s030","Ro2020s013","Ro2020s020","Ro2020s007","Ro2020s017","Ro2020s014","Ro2020s023","Ro2020s015","Ro2020s033","Ro2020s025","Ro2020s038","Ro2020s011","Ro2020s018","Ro2020s006","Ro2020s005","Ro2020s036","Ro2020s032","Ro2020s034","taxonomy"
"dafece401ef0fe7ff5a5b67e60962df4",0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,4,0,3,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Erysipelotrichia; D_3__Erysipelotrichales; D_4__Erysipelotrichaceae; D_5__Erysipelothrix; D_6__uncultured bacterium"
"4e7bdafc4d756e983259d206fb27259c",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae; D_5__Desulfotomaculum; D_6__Desulfotomaculum intricatum"
"d83d10e7b3bf6e3c4aa5e2fce5a39965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae; D_5__uncultured"
"2b67d3d351e6191a2b1b5cee00786133",0,0,0,0,20,25,0,2,2,21,3,0,1,1,0,42,0,0,3,0,3,0,0,0,0,0,0,12,2,0,8,3,6,0,0,0,0,0,0,"D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae; D_3__MSBL9; D_4__SG8-4; D_5__bacterium enrichment culture clone AOM-SR-B13; D_6__bacterium enrichment culture clone AOM-SR-B13"
"6067e813229716c37a61cb0e795a82e3",6,0,0,0,0,73,2,0,0,48,2,0,2,0,0,26,0,2,0,0,2,0,4,6,3,2,0,0,8,0,2,0,0,5,3,4,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Marinilabiliaceae; D_5__Marinilabilia; D_6__Marinilabilia nitratireducens"
"307b05b92c96e69f43846c5eb66abec3",8,0,0,0,0,0,15,0,2,0,0,0,0,0,0,13,0,11,15,2,16,0,20,5,0,16,2,0,14,0,0,2,16,0,7,10,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prolixibacteraceae; D_5__uncultured; D_6__benzene mineralizing consortium clone SB-1"
"805ad4e6b26e10c70fd65786a67b688a",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,2,0,0,0,2,0,0,2,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Ruminococcaceae; D_5__Ercella; D_6__uncultured bacterium SHA-33"
"1a3a2e681b2d8d7856d2e7d13d33fddf",0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Family XII"
"a3c346159acddce86bee33e0ef9c7cad",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prolixibacteraceae; D_5__uncultured; D_6__benzene mineralizing consortium clone SB-1"
"c55724e95990a10d08b6e756353758ff",2,0,0,0,0,33,5,0,2,22,0,0,15,0,18,26,0,12,5,27,3,0,4,5,2,2,0,0,0,0,0,39,2,18,6,2,0,0,0,"D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfuromonadales; D_4__Desulfuromonadaceae; D_5__Desulfuromusa"
