asv	FEzW4zC11	FEzW0zC7	FEzW4zF8	FEzW4zF5	FEzW2zC6	FEzW0zF11	FEzW2zF4	FEzW2zC8	FEzW4zC1	FEzW4zC6	FEzW2zF2	FEzW0zF7	FEzW2zC10	FEzW0zF5	FEzW6zC4	FEzW0zF6	FEzW4zF1	FEzW6zC3	FEzW6zF8	FEzW0zC9	FEzW4zC10	FEzW0zF1	FEzW2zF7	FEzW4zC2	FEzW4zF3	FEzW6zF5	FEzW2zF8	FEzW6zF2	FEzW6zC6	FEzW2zF6	FEzW0zF2	FEzW2zC2	FEzW6zF9	FEzW4zC3	FEzW0zF3	FEzW4zF9	FEzW6zF6	FEzW2zC9	FEzW6zC2	FEzW0zF9	FEzW2zC4	FEzW0zC2	FEzW4zC9	FEzW6zC10	FEzW0zC1	FEzW4zF4	FEzW6zF3	FEzW2zC3	FEzW4zF7	FEzW0zC6	FEzW6zF11	FEzW0zF4	FEzW2zF11	FEzW4zC4	FEzW0zC10	FEzW6zC7	FEzW6zF7	FEzW6zC5	FEzW6zF1	FEzW2zC5	FEzW0zC4	FEzW0zC5	FEzW6zC9	FEzW6zC1	FEzW2zF1	FEzW2zC11	FEzW2zF9	FEzW2zF5	FEzW2zF3	FEzW2zC1	FEzW2zC7	FEzW4zF2	FEzW4zC7	FEzW6zF4	FEzW4zC5	FEzW0zC8	FEzW4zC8	FEzW4zF6	FEzW0zC11	FEzW6zC11	FEzW6zC8
a743224e06c5d3484482282f40d45d62	0.0	5.0	0.0	4.0	0.0	30.0	0.0	10.0	3.0	14.0	13.0	13.0	11.0	15.0	6.0	10.0	12.0	451.0	7.0	15.0	12.0	9.0	0.0	17.0	4.0	2.0	10.0	22.0	30.0	9.0	13.0	139.0	4.0	6.0	5.0	6.0	13.0	8.0	7.0	14.0	10.0	22.0	4.0	4.0	12.0	10.0	3.0	23.0	6.0	22.0	12.0	0.0	31.0	3.0	30.0	3.0	45.0	11.0	5.0	5.0	10.0	58.0	0.0	2.0	1.0	8.0	27.0	0.0	0.0	12.0	0.0	37.0	8.0	15.0	4.0	0.0	9.0	9.0	25.0	0.0	3.0
73aca9206e573d92a5a5b28c450b0aa4	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	50.0	8.0	1.0	0.0	13.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0
6230048c7dbae4a0cf0e6cb16b94726b	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	5.0	3.0	5.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0	3.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0
437c8895aea8444fde3f9a6064fe6cce	0.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	3.0	0.0	0.0	4.0	0.0	10.0	0.0	2.0	0.0	5.0	0.0	32.0	2.0	0.0	12.0	0.0	0.0	1.0	0.0	0.0	4.0	6.0	0.0	0.0	2.0	25.0	1.0	0.0	0.0	4.0	0.0	1.0	0.0	5.0	0.0	2.0	0.0	0.0	4.0	2.0	0.0	0.0	3.0	0.0	8.0	6.0	0.0	0.0	9.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0	2.0	0.0	21.0	0.0	0.0	0.0	22.0	0.0	7.0
71b9573f62d3cc437c48d9d9e2740f87	0.0	4.0	24.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	44.0	0.0	85.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	3.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	3.0	0.0	0.0
1834e1ce7608f27643c5ae9163bd6e9b	0.0	4.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
763861739767802dd1fab39df0dead71	0.0	4.0	8.0	20.0	4.0	72.0	10.0	22.0	26.0	23.0	23.0	21.0	21.0	40.0	2.0	36.0	2.0	7.0	42.0	18.0	4.0	12.0	0.0	3.0	20.0	6.0	23.0	19.0	10.0	8.0	19.0	39.0	25.0	14.0	14.0	12.0	0.0	30.0	8.0	104.0	2.0	29.0	20.0	6.0	12.0	30.0	2.0	8.0	0.0	40.0	33.0	25.0	18.0	0.0	65.0	0.0	6.0	19.0	8.0	11.0	15.0	31.0	5.0	21.0	13.0	7.0	29.0	18.0	6.0	11.0	6.0	0.0	5.0	2.0	41.0	31.0	0.0	23.0	111.0	0.0	0.0
46f44f58c61e191da4195bda1014a2d6	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e143de4e29396df39036c3d22b02a48d	0.0	4.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	2.0	0.0	3.0	3.0	0.0	3.0	2.0	3.0	2.0	6.0	0.0	6.0	0.0	0.0	4.0	3.0	1.0	0.0	3.0	1.0	0.0	2.0	5.0	0.0	3.0	2.0	0.0	6.0	3.0	3.0	1.0	0.0	6.0	2.0	3.0	0.0	2.0	0.0	0.0	1.0	3.0	6.0	0.0	0.0	8.0	0.0	2.0	0.0	1.0	5.0	10.0	8.0	3.0	6.0	3.0	4.0	2.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	8.0	11.0	0.0	1.0	14.0	0.0	0.0
3d11436c35030b2280e1c9c39fbc3290	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
