#OTU ID	011BFE	012BFE	013BFE	020BFE	027BFE	028BFE	030BFE	038BFE	040BFE	047BFE	049BFE	053BFE	055BFE	060BFE	062BFE	063BFE	064BFE	067BFE	069BFE	070BFE	071BFE	073BFE	075BFE	076BFE	077BFE	078BFE	079BFE	080BFE	082BFE	084BFE	085BFE	086BFE	087BFE	088BFE	089BFE	090BFE	091BFE	092BFE	093BFE	094BFE	096BFE	097BFE	099BFE	100BFE	101BFE	102BFE	103BFE	104BFE	105BFE	107BFE	108BFE	109BFE	110BFE	112BFE	126BFE	128BFE	140BFE	142BFE	144BFE	148BFE	170BFE	176BFE	187BFE	502AFE	503AFE	504AFE	505AFE	508AFE	509AFE
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Prevotella	0	0	0	0	379	558	896	0	1019	0	1466	1527	0	1088	0	0	0	699	0	0	0	0	0	138	0	2282	0	0	1985	0	13	2244	4915	2257	6537	0	0	0	1293	1435	0	0	0	0	1	75	817	13	3088	2136	1049	1359	1	3	1692	2675	0	655	2606	0	1674	1	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Xylanibacter	0	0	0	0	0	0	0	0	231	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	19	0	0	0	0	15	0	0	0	0	0	23	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Rikenellaceae._.g__Alistipes	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	3	1	31	2	17	2	12	62	83	9	16	16	1	10	0	1	19	13	13	2	0	0	12	9	22	0	30	1	39	1	0	0	7	5	18	0	0	0	0	0	0	0	3	6	0	9	15	13	16	4
k__Bacteria._.p__Bacteroidetes._.c__Cytophagia._.o__Cytophagales._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__._.o__._.f__._.g__	1	0	1	27	0	5	0	0	1	0	0	3	0	0	1	2	1	0	0	5	1	2	0	0	0	4	0	1	67	27	0	49	38	0	0	8	0	0	10	0	0	0	0	58	2	102	116	4	68	5	3	2	1	6	0	2	0	0	2	0	0	1	5	2	0	6	0	1	1
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__._.f__._.g__	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Carnobacteriaceae._.g__Granulicatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Lactobacillaceae._.g__Lactobacillus	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	4	90	0	17	0	0	0	0	0	91	83	0	0	1	0	0	16	2	0	1	29	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Streptococcaceae._.g__Streptococcus	0	1	0	6	4	6	0	1	130	0	0	0	0	1	0	0	2	5	3	0	1	6	1	13	3	0	25	186	0	5	0	17	1	1	24	2	0	0	1	0	2	12	0	0	0	1	2	30	0	1	7	38	5	0	0	0	1	20	11	0	20	0	0	0	1	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__._.g__	0	0	2	49	0	25	0	7	3	0	1	48	0	0	0	0	1	2	0	33	3	23	6	0	0	16	3	39	314	65	0	55	41	14	0	205	39	3	1	0	0	38	0	169	0	81	15	76	27	7	13	4	41	47	2	37	1	0	1	0	3	3	2	4	0	5	0	0	4
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_1._.g__Clostridium_sensu_stricto	0	0	0	2	1	0	2	0	5	0	0	2	0	2	0	10	0	0	0	14	0	0	1	18	0	0	0	0	68	2	0	15	0	22	19	0	2	0	0	0	1	1	0	13	7	1	6	0	4	15	1	3	28	2	8	14	1	0	0	2	6	1	69	0	0	0	0	1	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XIII._.g__	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	11	0	0	2	2	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XIII._.g__Anaerovorax	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	18	1	0	1	0	1	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XIII._.g__Mogibacterium	0	0	0	4	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__	145	37	95	150	78	172	16	26	8	12	22	36	1	50	28	108	47	45	51	193	33	213	150	147	42	211	81	100	118	429	8	49	630	162	62	145	28	294	22	15	38	82	42	213	146	40	139	83	37	28	76	20	63	81	26	23	21	18	357	42	9	12	16	18	39	14	29	28	24
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Anaerostipes	1	0	0	0	0	0	0	0	2	0	1	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	1	1	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Blautia	52	11	80	16	14	25	10	24	16	3	20	11	12	4	18	49	53	12	35	40	42	58	16	247	10	36	19	31	81	135	16	29	155	75	11	53	156	98	9	4	7	41	45	29	40	22	35	44	26	4	13	28	13	6	0	6	8	11	3	13	10	18	40	17	119	34	20	35	17
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Butyrivibrio	0	0	0	0	0	0	0	12	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	17	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVa	18	13	15	3	80	20	18	16	8	2	4	7	6	12	5	18	26	14	21	37	32	100	9	111	8	9	5	23	68	73	25	7	13	16	21	12	32	19	15	11	34	19	10	30	6	7	12	3	7	4	21	14	18	16	0	1	12	4	10	10	2	5	4	7	96	4	12	14	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVb	0	5	24	7	24	12	0	0	7	1	2	2	0	0	9	7	0	2	0	2	12	4	1	0	8	9	0	0	9	58	0	0	13	1	1	4	0	3	5	1	0	1	0	0	1	0	5	5	10	0	2	1	1	4	1	0	0	0	7	1	1	0	4	1	19	11	9	11	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Coprococcus	36	4	0	2	3	95	1	0	3	0	46	4	1	1	3	6	0	3	8	120	9	4	4	22	0	6	1	8	23	10	0	22	211	14	37	8	25	13	1	3	0	12	5	167	4	19	62	5	3	11	14	27	67	4	1	4	1	0	8	0	4	0	2	5	22	1	0	0	3
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Dorea	22	2	13	8	8	15	3	1	24	3	13	5	3	9	5	22	29	10	0	4	15	0	17	49	7	8	5	11	76	31	12	22	76	38	6	11	49	13	1	2	3	8	3	4	9	7	29	11	1	3	5	8	13	0	0	3	1	2	4	0	3	0	1	2	0	0	0	1	2
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Howardella	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	5	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospira	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0
