#OTU ID	FR-026	FR-027	FR-030	FR-039	FR-040	FR-052	FR-053	FR-060	FR-105	FR-110	FR-113	FR-115	FR-116	FR-125	FR-129	FR-132	FR-139	FR-142	FR-152	FR-156	FR-161	FR-166	FR-169	FR-170	FR-173	FR-187	FR-194	FR-198	FR-200	FR-208	FR-212	FR-213	FR-214	FR-215	FR-221	FR-223	FR-229	FR-276	FR-281	FR-294	FR-298	FR-302	FR-305	FR-316	FR-328	FR-344	FR-349	FR-390	FR-393	FR-399	FR-400	FR-414	FR-419	FR-430	FR-450	FR-451	FR-459	FR-460	FR-496	FR-500	FR-503	FR-505	FR-506	FR-507	FR-510	FR-539	FR-542	FR-551	FR-552	FR-558	FR-568	FR-596	FR-606	FR-617	FR-626	FR-628	FR-643	FR-654	FR-664	FR-666	FR-667	FR-672	FR-682	FR-684	FR-696	FR-716	FR-719	FR-721	FR-722	FR-723	FR-726	FR-728	FR-730	FR-734	FR-751	FR-759	FR-767	FR-768	FR-770	FR-772	FR-780	FR-783	FR-788	FR-790	FR-792	FR-812	FR-817	FR-820	FR-824	FR-825	FR-826	FR-827	FR-828	FR-829	FR-830	FR-835
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Planococcaceae._.g__	0	2	1	1	0	1	0	0	0	0	1	0	0	0	2	0	1	1	0	1	1	1	4	0	0	0	1	1	149184	11	2	3	1	1	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Planococcaceae._.g__Lysinibacillus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11867	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Planococcaceae._.g__Solibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Staphylococcaceae._.g__Staphylococcus	0	1	0	0	0	0	5	0	2	10	5	0	0	0	28	0	1	0	0	0	2	0	0	0	0	0	0	5	0	0	26	5	0	0	0	36	0	6	2	1	0	0	167	29	4	3	0	0	0	0	0	3	2	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	3	168	0	3	12	4	0	0	0	0	3	0	0	7	2	1	2	5	2	2	0	0	0	8	0	0	0	0	15	0	22	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Thermoactinomycetaceae_1._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__._.g__	0	2	0	0	0	0	4	1	0	2	0	0	0	3	2	5	4	0	2	0	0	0	0	0	0	0	3	0	0	0	1	9	0	1	8	0	2	1	0	6	0	0	5	69	1	1	0	51	2	8	2	23	0	0	0	0	3	8	1	0	0	0	1	19	0	0	0	0	0	6	4	0	1	4	0	1	0	4	0	3	0	1	1	3	0	1	3	0	0	0	1	12	8	2	39	32	1	0	0	3	0	1	0	7	0	0	0	6	48	0	2	1	0	0	0	12
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Aerococcaceae._.g__Abiotrophia	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	32	0	3	0	0	0	0	0	0	0	0	0	0	43	0	0	0	1	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9	0	0	9	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Carnobacteriaceae._.g__Carnobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Carnobacteriaceae._.g__Granulicatella	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	2	9	0	0	1	9	0	8	0	0	0	0	0	1	9	0	9	0	0	0	0	7	5	0	0	73	0	3	28	0	9	0	0	4	0	0	0	8	0	0	0	2	0	2	2	0	0	2	0	0	1	3	1	0	0	0	0	14	1	0	4	0	0	0	0	0	0	0	4	14	0	0	0	11	0	1	0	0	0	1	0	19	0	1	0	0	0	0	1	1
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Enterococcaceae._.g__	0	2	1	1	0	0	1	3	2	0	1	0	0	29	4	6	2	0	1	0	3	1	0	7	0	1	16	0	0	5	6	29	0	34	17	0	7	11	0	16	17	20	98	143	0	4	8	50	8	12	5	12	0	11	0	0	105	1	14	34	6	0	2	41	1	0	0	25	2	18	14	4	1	12	1	0	2	3	1	2	3	3	1	38	16	6	3	2	0	13	0	1	2	11	12	33	4	1	0	251	3	11	14	9	11	15	0	57	160	13	8	0	9	6	4	12
