#OTU ID	FR-026	FR-027	FR-030	FR-039	FR-040	FR-052	FR-053	FR-060	FR-105	FR-110	FR-113	FR-115	FR-116	FR-125	FR-129	FR-132	FR-139	FR-142	FR-152	FR-156	FR-161	FR-166	FR-169	FR-170	FR-173	FR-187	FR-194	FR-198	FR-200	FR-208	FR-212	FR-213	FR-214	FR-215	FR-221	FR-223	FR-229	FR-276	FR-281	FR-294	FR-298	FR-302	FR-305	FR-316	FR-328	FR-344	FR-349	FR-390	FR-393	FR-399	FR-400	FR-414	FR-419	FR-430	FR-450	FR-451	FR-459	FR-460	FR-496	FR-500	FR-503	FR-505	FR-506	FR-507	FR-510	FR-539	FR-542	FR-551	FR-552	FR-558	FR-568	FR-596	FR-606	FR-617	FR-626	FR-628	FR-643	FR-654	FR-664	FR-666	FR-667	FR-672	FR-682	FR-684	FR-696	FR-716	FR-719	FR-721	FR-722	FR-723	FR-726	FR-728	FR-730	FR-734	FR-751	FR-759	FR-767	FR-768	FR-770	FR-772	FR-780	FR-783	FR-788	FR-790	FR-792	FR-812	FR-817	FR-820	FR-824	FR-825	FR-826	FR-827	FR-828	FR-829	FR-830	FR-835
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__Caulobacterales._.f__Caulobacteraceae._.g__Asticcacaulis	0	2	1	2	0	5	3	2	1	2	5	8	0	3	3	0	0	0	2	5	4	1	1	1	2	0	2	0	1	1	3	0	1	7	2	2	1	0	4	0	6	1	2	4	0	0	1	1	0	1	1	0	0	1	0	2	0	0	1	2	2	0	0	2	0	3	1	1	5	0	0	2	2	1	0	3	0	0	0	1	5	0	1	0	6	0	0	0	0	0	1	1	1	1	1	4	0	4	1	4	1	2	1	2	1	1	11	1	1	2	1	9	2	3	22	0
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__Caulobacterales._.f__Caulobacteraceae._.g__Caulobacter	5	0	7	1	5	1	0	0	4	4	4	0	1	7	3	0	2	0	0	8	4	2	6	4	0	2	0	0	0	2	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	2	4	4	2	5	2	0	6	0	3	8	2	0	4	9	4	0	5	0	0	4	0	3	0	1	0	0	2	2	0	0	5	1	55	0	0	0	0	1	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	4	2	0	0	0	0	0	1	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__Rhizobiales._.f__._.g__	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__Rhizobiales._.f__Bradyrhizobiaceae._.g__Bradyrhizobium	0	0	5	0	2	0	1	1	1	0	1	2	2	0	0	0	0	0	0	0	0	1	9	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	1	3	0	0	0	1	0	0	1	0
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__Rhizobiales._.f__Methylobacteriaceae._.g__Methylobacterium	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	2	11	0	0	2	0	0	1	0	1	0	2	1	0	1	0	3	1	0	0	0	0	0	0	0	4	2	0	1	1	1	4	8	4	1	3	4	1	0	2	0	0	4	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	19	0	0	1	0	0	1	2	0	1	0	0	1	0	0	1	0	3	1	1	0	1	1	0
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__Rhizobiales._.f__Phyllobacteriaceae._.g__Phyllobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__Rhodobacterales._.f__Rhodobacteraceae._.g__	2	7	12	13	6	17	7	10	12	13	36	51	55	25	22	4	10	1	20	18	23	10	12	8	23	12	10	27	17	17	39	1	19	57	12	29	43	10	22	0	31	26	23	16	11	28	8	17	2	11	3	2	1	11	8	24	2	5	3	23	29	17	15	4	16	6	10	2	15	0	4	8	2	1	0	4	2	3	7	44	8	8	7	11	19	2	6	1	1	14	1	1	19	12	2	13	6	17	7	25	10	13	36	7	14	10	41	19	21	33	18	60	38	23	91	25
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__Rhodobacterales._.f__Rhodobacteraceae._.g__Paracoccus	109	128	266	263	245	1060	122	387	432	377	1382	1289	514	2334	391	76	182	26	48	1438	992	487	1396	98	1679	408	244	1397	228	868	851	34	523	2931	144	260	707	96	565	9	912	737	1461	1250	449	860	122	352	30	77	56	52	42	63	124	167	22	55	153	1346	238	276	243	42	458	298	183	216	205	9	41	125	284	74	2	56	45	9	46	1274	169	83	230	77	5423	46	84	21	250	151	17	18	307	128	62	172	163	257	295	649	102	331	926	122	282	1312	587	1070	277	2339	480	1844	781	457	2807	981
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__Rhodospirillales._.f__Rhodospirillaceae._.g__	0	1	19	2	0	0	1	0	0	7	0	0	0	0	0	15	2	0	0	0	0	0	81	0	0	0	0	0	0	0	0	21	0	0	1	45	0	0	15	0	0	6	0	0	1	0	0	0	0	0	9	6	0	0	0	0	2	3	0	8	0	1	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	67	0	0	0	0	0	68	1	0	5	0	0	69	0	0	0	0	27	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__Rhodospirillales._.f__Rhodospirillaceae._.g__Insolitispirillum	0	2	5	0	0	0	3	71	0	11	0	0	0	0	0	0	0	0	0	0	0	118	62	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	44	0	0	0	0	0	0	0	0	0	0	22	58	0	0	0	0	0	0	2	0	31	0	1	42	1	0	0	0	26	0	0	0	0	0	0	0	0	46	4	0	0	11	0	0	0	0	0	9	0	0	2	0	0	0	7	3	0	0	1	0	0	0	0	0	0	0	15	0	0	0	0	8	0	0	0	0	0
